yr,dual,age_band,sex,ab_ffs_mm,partd_mm
2016,false,65-74,Female,7856,5229
2016,false,65-74,Male,8022,5342
2016,false,75-84,Female,2484,1583
2016,false,75-84,Male,2436,1828
2016,false,85+,Female,2172,1548
2016,false,85+,Male,2124,1609
2016,false,<65,Female,13440,9174
2016,false,<65,Male,14652,10220
2016,true,65-74,Female,2380,1645
2016,true,65-74,Male,2718,1934
2016,true,75-84,Female,1008,717
2016,true,75-84,Male,972,717
2016,true,85+,Female,768,552
2016,true,85+,Male,648,510
2016,true,<65,Female,4500,3110
2016,true,<65,Male,4980,3476
2017,false,65-74,Female,8657,5713
2017,false,65-74,Male,8533,5780
2017,false,75-84,Female,2688,1807
2017,false,75-84,Male,2784,1965
2017,false,85+,Female,2268,1641
2017,false,85+,Male,2232,1632
2017,false,<65,Female,13800,9676
2017,false,<65,Male,15048,10645
2017,true,65-74,Female,2647,1831
2017,true,65-74,Male,2807,1919
2017,true,75-84,Female,1092,778
2017,true,75-84,Male,1116,804
2017,true,85+,Female,792,599
2017,true,85+,Male,684,507
2017,true,<65,Female,4704,3312
2017,true,<65,Male,4992,3481
2018,false,65-74,Female,9325,6027
2018,false,65-74,Male,9307,5994
2018,false,75-84,Female,3072,2136
2018,false,75-84,Male,3384,2385
2018,false,85+,Female,2412,1780
2018,false,85+,Male,2292,1810
2018,false,<65,Female,14136,9843
2018,false,<65,Male,15228,10841
2018,true,65-74,Female,2855,2020
2018,true,65-74,Male,2909,2108
2018,true,75-84,Female,1224,855
2018,true,75-84,Male,1428,1086
2018,true,85+,Female,864,671
2018,true,85+,Male,744,525
2018,true,<65,Female,4776,3248
2018,true,<65,Male,5232,3552
2019,false,65-74,Female,9964,6430
2019,false,65-74,Male,9897,6386
2019,false,75-84,Female,3708,2533
2019,false,75-84,Male,4116,2899
2019,false,85+,Female,2520,1804
2019,false,85+,Male,2328,1819
2019,false,<65,Female,14712,10214
2019,false,<65,Male,15780,11220
2019,true,65-74,Female,3152,2165
2019,true,65-74,Male,3075,2149
2019,true,75-84,Female,1392,967
2019,true,75-84,Male,1644,1216
2019,true,85+,Female,900,745
2019,true,85+,Male,768,519
2019,true,<65,Female,4944,3350
2019,true,<65,Male,5292,3652
2020,false,65-74,Female,10888,7048
2020,false,65-74,Male,10518,6821
2020,false,75-84,Female,4296,2936
2020,false,75-84,Male,4500,3160
2020,false,85+,Female,2544,1825
2020,false,85+,Male,2424,1806
2020,false,<65,Female,15096,10445
2020,false,<65,Male,16080,11184
2020,true,65-74,Female,3380,2195
2020,true,65-74,Male,3354,2467
2020,true,75-84,Female,1656,1218
2020,true,75-84,Male,1836,1288
2020,true,85+,Female,936,756
2020,true,85+,Male,804,519
2020,true,<65,Female,5028,3482
2020,true,<65,Male,5292,3721
2021,false,65-74,Female,11461,7312
2021,false,65-74,Male,10907,7162
2021,false,75-84,Female,4968,3354
2021,false,75-84,Male,5208,3706
2021,false,85+,Female,2640,1823
2021,false,85+,Male,2604,1963
2021,false,<65,Female,15564,10556
2021,false,<65,Male,16584,11595
2021,true,65-74,Female,3707,2582
2021,true,65-74,Male,3529,2552
2021,true,75-84,Female,1776,1280
2021,true,75-84,Male,2064,1348
2021,true,85+,Female,960,761
2021,true,85+,Male,804,552
2021,true,<65,Female,5076,3393
2021,true,<65,Male,5412,3769
2022,false,65-74,Female,12128,7661
2022,false,65-74,Male,11687,7481
2022,false,75-84,Female,5580,3908
2022,false,75-84,Male,5784,4099
2022,false,85+,Female,2760,1867
2022,false,85+,Male,2712,2061
2022,false,<65,Female,16068,10978
2022,false,<65,Male,17004,11886
2022,true,65-74,Female,3904,2695
2022,true,65-74,Male,3637,2639
2022,true,75-84,Female,1980,1473
2022,true,75-84,Male,2304,1633
2022,true,85+,Female,996,744
2022,true,85+,Male,828,578
2022,true,<65,Female,5184,3469
2022,true,<65,Male,5544,3790
