yr,service_group,dual,age_band,sex,allowed,services
2016,Advance care planning,false,65-74,Male,600.5,1
2016,Advance care planning,true,75-84,Female,808.7,2
2016,Care management,false,65-74,Female,192402.72999999998,326
2016,Care management,false,65-74,Male,201512.76999999996,349
2016,Care management,false,75-84,Female,64377.35999999998,113
2016,Care management,false,75-84,Male,118617.78,210
2016,Care management,false,85+,Female,96952.48000000003,164
2016,Care management,false,85+,Male,110615.96000000002,190
2016,Care management,false,<65,Female,314982.42000000004,548
2016,Care management,false,<65,Male,367304.32999999996,621
2016,Care management,true,65-74,Female,68218.29999999999,117
2016,Care management,true,65-74,Male,73282.38,126
2016,Care management,true,75-84,Female,45447.79,74
2016,Care management,true,75-84,Male,47257.2,83
2016,Care management,true,85+,Female,31503.15000000001,53
2016,Care management,true,85+,Male,26231.839999999997,45
2016,Care management,true,<65,Female,111297.45000000001,186
2016,Care management,true,<65,Male,122726.33000000002,220
2016,Screening / counseling,false,65-74,Female,0.0,2167
2016,Screening / counseling,false,65-74,Male,6365.4800000000005,2448
2016,Screening / counseling,false,75-84,Female,0.0,799
2016,Screening / counseling,false,75-84,Male,4615.73,1196
2016,Screening / counseling,false,85+,Female,0.0,915
2016,Screening / counseling,false,85+,Male,0.0,953
2016,Screening / counseling,false,<65,Female,8801.220000000001,2922
2016,Screening / counseling,false,<65,Male,15374.76,3405
2016,Screening / counseling,true,65-74,Female,0.0,695
2016,Screening / counseling,true,65-74,Male,5018.1900000000005,719
2016,Screening / counseling,true,75-84,Female,0.0,454
2016,Screening / counseling,true,75-84,Male,0.0,395
2016,Screening / counseling,true,85+,Female,0.0,317
2016,Screening / counseling,true,85+,Male,0.0,317
2016,Screening / counseling,true,<65,Female,1672.25,1014
2016,Screening / counseling,true,<65,Male,3561.4900000000002,1063
2017,Advance care planning,false,85+,Female,507.0,1
2017,Care management,false,65-74,Female,223304.56000000006,373
2017,Care management,false,65-74,Male,232143.06000000006,413
2017,Care management,false,75-84,Female,78641.53,142
2017,Care management,false,75-84,Male,130505.61999999998,225
2017,Care management,false,85+,Female,98679.96999999996,168
2017,Care management,false,85+,Male,111134.47000000003,199
2017,Care management,false,<65,Female,341054.91000000003,577
2017,Care management,false,<65,Male,348145.16000000003,599
2017,Care management,true,65-74,Female,85576.82,156
2017,Care management,true,65-74,Male,69455.57999999999,118
2017,Care management,true,75-84,Female,33865.80999999999,58
2017,Care management,true,75-84,Male,51538.23000000001,92
2017,Care management,true,85+,Female,36172.77000000001,65
2017,Care management,true,85+,Male,26389.939999999995,47
2017,Care management,true,<65,Female,102515.29,176
2017,Care management,true,<65,Male,128852.35999999999,223
2017,Screening / counseling,false,65-74,Female,0.0,2495
2017,Screening / counseling,false,65-74,Male,6008.200000000001,2784
2017,Screening / counseling,false,75-84,Female,0.0,882
2017,Screening / counseling,false,75-84,Male,0.0,1309
2017,Screening / counseling,false,85+,Female,0.0,959
2017,Screening / counseling,false,85+,Male,0.0,1047
2017,Screening / counseling,false,<65,Female,8163.129999999999,3234
2017,Screening / counseling,false,<65,Male,15495.550000000001,3471
2017,Screening / counseling,true,65-74,Female,0.0,779
2017,Screening / counseling,true,65-74,Male,1056.98,702
2017,Screening / counseling,true,75-84,Female,0.0,399
2017,Screening / counseling,true,75-84,Male,2683.86,450
2017,Screening / counseling,true,85+,Female,0.0,353
2017,Screening / counseling,true,85+,Male,0.0,236
2017,Screening / counseling,true,<65,Female,4143.099999999999,1014
2017,Screening / counseling,true,<65,Male,2955.97,1122
2018,Advance care planning,false,65-74,Male,1093.3400000000001,2
2018,Advance care planning,false,75-84,Male,615.85,1
2018,Care management,false,65-74,Female,231457.39999999997,405
2018,Care management,false,65-74,Male,242736.02000000008,426
2018,Care management,false,75-84,Female,93834.16999999998,165
2018,Care management,false,75-84,Male,141982.63999999996,255
2018,Care management,false,85+,Female,119655.00999999998,202
2018,Care management,false,85+,Male,145025.12,253
2018,Care management,false,<65,Female,351881.0299999999,608
2018,Care management,false,<65,Male,375115.44,634
2018,Care management,true,65-74,Female,76190.28,131
2018,Care management,true,65-74,Male,88650.27999999997,152
2018,Care management,true,75-84,Female,47720.94,80
2018,Care management,true,75-84,Male,51871.36,97
2018,Care management,true,85+,Female,32325.43,57
2018,Care management,true,85+,Male,18429.329999999998,32
2018,Care management,true,<65,Female,97443.65,169
2018,Care management,true,<65,Male,119147.82000000002,207
2018,Screening / counseling,false,65-74,Female,0.0,2719
2018,Screening / counseling,false,65-74,Male,7396.79,2822
2018,Screening / counseling,false,75-84,Female,0.0,1070
2018,Screening / counseling,false,75-84,Male,3776.8900000000003,1468
2018,Screening / counseling,false,85+,Female,0.0,1118
2018,Screening / counseling,false,85+,Male,359.77,1197
2018,Screening / counseling,false,<65,Female,8547.15,3209
2018,Screening / counseling,false,<65,Male,14448.59,3676
2018,Screening / counseling,true,65-74,Female,0.0,756
2018,Screening / counseling,true,65-74,Male,2363.02,838
2018,Screening / counseling,true,75-84,Female,0.0,483
2018,Screening / counseling,true,75-84,Male,1693.89,463
2018,Screening / counseling,true,85+,Female,0.0,304
2018,Screening / counseling,true,85+,Male,0.0,188
2018,Screening / counseling,true,<65,Female,3537.3,938
2018,Screening / counseling,true,<65,Male,2875.39,1087
2019,Advance care planning,false,65-74,Male,615.85,1
2019,Advance care planning,false,75-84,Female,1200.6,2
2019,Advance care planning,false,75-84,Male,485.85,1
2019,Advance care planning,false,85+,Male,600.5,1
2019,Advance care planning,false,<65,Female,600.5,1
2019,Advance care planning,true,65-74,Male,370.2,1
2019,Care management,false,65-74,Female,253934.17000000007,434
2019,Care management,false,65-74,Male,269483.9299999999,462
2019,Care management,false,75-84,Female,122845.56000000003,208
2019,Care management,false,75-84,Male,177333.66000000003,306
2019,Care management,false,85+,Female,110951.14,195
2019,Care management,false,85+,Male,111210.20000000001,194
2019,Care management,false,<65,Female,363557.16000000003,617
2019,Care management,false,<65,Male,394807.15000000014,676
2019,Care management,true,65-74,Female,92094.29000000001,161
2019,Care management,true,65-74,Male,93114.95999999999,166
2019,Care management,true,75-84,Female,51133.26999999999,89
2019,Care management,true,75-84,Male,57566.69000000002,97
2019,Care management,true,85+,Female,29684.1,51
2019,Care management,true,85+,Male,32261.150000000005,60
2019,Care management,true,<65,Female,119526.17000000001,209
2019,Care management,true,<65,Male,130132.31000000003,224
2019,Screening / counseling,false,65-74,Female,0.0,2878
2019,Screening / counseling,false,65-74,Male,9643.48,3005
2019,Screening / counseling,false,75-84,Female,0.0,1253
2019,Screening / counseling,false,75-84,Male,1555.88,1812
2019,Screening / counseling,false,85+,Female,0.0,1116
2019,Screening / counseling,false,85+,Male,0.0,1002
2019,Screening / counseling,false,<65,Female,7985.340000000001,3434
2019,Screening / counseling,false,<65,Male,15808.689999999999,3831
2019,Screening / counseling,true,65-74,Female,0.0,930
2019,Screening / counseling,true,65-74,Male,1335.7,893
2019,Screening / counseling,true,75-84,Female,0.0,538
2019,Screening / counseling,true,75-84,Male,2112.6,524
2019,Screening / counseling,true,85+,Female,0.0,323
2019,Screening / counseling,true,85+,Male,0.0,313
2019,Screening / counseling,true,<65,Female,3239.4500000000003,1054
2019,Screening / counseling,true,<65,Male,7466.0199999999995,1120
2020,Advance care planning,false,65-74,Female,620.44,1
2020,Advance care planning,false,75-84,Female,600.5,1
2020,Advance care planning,false,75-84,Male,615.85,1
2020,Advance care planning,false,85+,Male,600.5,1
2020,Advance care planning,false,<65,Female,476.3,1
2020,Advance care planning,false,<65,Male,481.7,1
2020,Advance care planning,true,85+,Female,615.85,1
2020,Care management,false,65-74,Female,268293.61,452
2020,Care management,false,65-74,Male,310707.1199999999,539
2020,Care management,false,75-84,Female,129485.54000000004,224
2020,Care management,false,75-84,Male,204197.03000000003,359
2020,Care management,false,85+,Female,104055.63999999998,177
2020,Care management,false,85+,Male,118411.56000000003,211
2020,Care management,false,<65,Female,373552.1099999998,631
2020,Care management,false,<65,Male,397875.3800000001,680
2020,Care management,true,65-74,Female,88264.46000000002,158
2020,Care management,true,65-74,Male,107266.74000000002,182
2020,Care management,true,75-84,Female,54145.45999999999,93
2020,Care management,true,75-84,Male,63076.22999999999,110
2020,Care management,true,85+,Female,27734.8,55
2020,Care management,true,85+,Male,30396.050000000003,53
2020,Care management,true,<65,Female,114804.78,198
2020,Care management,true,<65,Male,118589.21000000002,202
2020,Screening / counseling,false,65-74,Female,0.0,3118
2020,Screening / counseling,false,65-74,Male,6455.929999999999,3397
2020,Screening / counseling,false,75-84,Female,0.0,1489
2020,Screening / counseling,false,75-84,Male,1511.79,1981
2020,Screening / counseling,false,85+,Female,0.0,1030
2020,Screening / counseling,false,85+,Male,4908.38,1088
2020,Screening / counseling,false,<65,Female,10366.289999999999,3500
2020,Screening / counseling,false,<65,Male,19584.300000000003,3752
2020,Screening / counseling,true,65-74,Female,0.0,964
2020,Screening / counseling,true,65-74,Male,1163.24,1002
2020,Screening / counseling,true,75-84,Female,0.0,606
2020,Screening / counseling,true,75-84,Male,1320.42,597
2020,Screening / counseling,true,85+,Female,0.0,339
2020,Screening / counseling,true,85+,Male,0.0,315
2020,Screening / counseling,true,<65,Female,5165.4,1085
2020,Screening / counseling,true,<65,Male,4087.7200000000003,1137
