yr,service_category,allowed,member_months,pmpm
2016,Inpatient Hospital,11140748.0,71160,156.56
2016,Long-Term Care,4269415.0,71160,60.0
2016,Other,26362.0,71160,0.37
2016,Outpatient Hospital,72294916.0,71160,1015.95
2016,Professional,17414847.0,71160,244.73
2016,Retail Pharmacy,8816921.0,49194,179.23
2017,Inpatient Hospital,11467817.0,74844,153.22
2017,Long-Term Care,3894432.0,74844,52.03
2017,Other,26485.0,74844,0.35
2017,Outpatient Hospital,86914686.0,74844,1161.28
2017,Professional,18409015.0,74844,245.97
2017,Retail Pharmacy,9417896.0,52090,180.8
2018,Inpatient Hospital,15232397.0,79188,192.36
2018,Long-Term Care,5471711.0,79188,69.1
2018,Other,28141.0,79188,0.36
2018,Outpatient Hospital,87498990.0,79188,1104.95
2018,Professional,19769018.0,79188,249.65
2018,Retail Pharmacy,10458583.0,54881,190.57
2019,Inpatient Hospital,15337032.0,84192,182.17
2019,Long-Term Care,5621033.0,84192,66.76
2019,Other,29452.0,84192,0.35
2019,Outpatient Hospital,79150520.0,84192,940.12
2019,Professional,21465905.0,84192,254.96
2019,Retail Pharmacy,11174197.0,58068,192.43
2020,Inpatient Hospital,23665453.0,88632,267.01
2020,Long-Term Care,5538014.0,88632,62.48
2020,Other,32273.0,88632,0.36
2020,Outpatient Hospital,87034639.0,88632,981.98
2020,Professional,23159557.0,88632,261.3
2020,Retail Pharmacy,11901246.0,60871,195.52
2021,Inpatient Hospital,25906726.0,93264,277.78
2021,Long-Term Care,6210522.0,93264,66.59
2021,Other,32593.0,93264,0.35
2021,Outpatient Hospital,97289879.0,93264,1043.17
2021,Professional,24110440.0,93264,258.52
2021,Retail Pharmacy,12221648.0,63708,191.84
2022,Inpatient Hospital,33499834.0,98100,341.49
2022,Long-Term Care,6063383.0,98100,61.81
2022,Other,35104.0,98100,0.36
2022,Outpatient Hospital,109983605.0,98100,1121.14
2022,Professional,25249357.0,98100,257.38
2022,Retail Pharmacy,13741120.0,66962,205.21
