yr,service_group,services,allowed
2016,Care management,3425,1992730.27
2016,Screening / counseling,19779,45409.12
2016,Advance care planning,3,1409.2
2017,Care management,3631,2097976.08
2017,Screening / counseling,21236,40506.79
2017,Advance care planning,1,507.0
2018,Care management,3873,2233465.92
2018,Screening / counseling,22336,44998.79
2018,Advance care planning,3,1709.19
2019,Care management,4149,2409635.91
2019,Screening / counseling,24026,49147.16
2019,Advance care planning,7,3873.5
2020,Care management,4324,2510855.72
2020,Screening / counseling,25400,54563.47
2020,Advance care planning,7,4011.14
2021,Care management,4652,2660386.83
2021,Screening / counseling,26722,52585.28
2021,Advance care planning,9,4597.48
2022,Care management,5151,2955106.4
2022,Screening / counseling,28832,66505.61
2022,Advance care planning,9,4510.79
