yr,service_category,subcategory,type_of_service,dual,age_band,sex,allowed,paid,n_rows,n_benes
2016,Inpatient Hospital,Acute care hospital,n/a,false,65-74,Female,1117753.33,931385.8600000002,144,106
2016,Inpatient Hospital,Acute care hospital,n/a,false,65-74,Male,2170664.1200000006,1825563.3000000005,213,129
2016,Inpatient Hospital,Acute care hospital,n/a,false,75-84,Female,397544.51000000007,330562.76999999996,63,43
2016,Inpatient Hospital,Acute care hospital,n/a,false,75-84,Male,611438.1400000002,509368.81,114,38
2016,Inpatient Hospital,Acute care hospital,n/a,false,85+,Female,280088.68,233139.89999999997,135,41
2016,Inpatient Hospital,Acute care hospital,n/a,false,85+,Male,245486.47999999986,204355.77,130,43
2016,Inpatient Hospital,Acute care hospital,n/a,false,<65,Female,2314142.280000001,1968890.4900000005,308,234
2016,Inpatient Hospital,Acute care hospital,n/a,false,<65,Male,1057989.65,902535.5399999995,241,173
2016,Inpatient Hospital,Acute care hospital,n/a,true,65-74,Female,540379.93,509043.3099999999,66,46
2016,Inpatient Hospital,Acute care hospital,n/a,true,65-74,Male,441095.31999999995,406062.2800000001,87,55
2016,Inpatient Hospital,Acute care hospital,n/a,true,75-84,Female,391825.2100000001,359697.53,69,26
2016,Inpatient Hospital,Acute care hospital,n/a,true,75-84,Male,264234.48999999993,231224.0399999999,59,27
2016,Inpatient Hospital,Acute care hospital,n/a,true,85+,Female,23199.780000000006,22931.070000000003,19,10
2016,Inpatient Hospital,Acute care hospital,n/a,true,85+,Male,57691.32,54736.009999999995,44,21
2016,Inpatient Hospital,Acute care hospital,n/a,true,<65,Female,821201.2899999998,762418.1699999997,123,89
2016,Inpatient Hospital,Acute care hospital,n/a,true,<65,Male,406012.9699999998,373095.41999999975,130,85
2016,Long-Term Care,Hospice,n/a,false,65-74,Female,267465.32999999996,267465.32999999996,16,16
2016,Long-Term Care,Hospice,n/a,false,65-74,Male,257483.91999999998,257483.91999999998,14,14
2016,Long-Term Care,Hospice,n/a,false,75-84,Female,197340.57999999996,197340.57999999996,14,14
2016,Long-Term Care,Hospice,n/a,false,75-84,Male,141929.62000000002,141929.62000000002,9,9
2016,Long-Term Care,Hospice,n/a,false,85+,Female,64677.25,64677.25,4,4
