row_type,yr,service_category,subcategory,type_of_service,service_group,dual_status,age_band,sex,allowed,pc_allowed,ab_mm,pd_mm
member_months,2016,,,,,Dual,85+,Male,,,648,510
member_months,2016,,,,,Dual,<65,Male,,,4980,3476
member_months,2016,,,,,Non-dual,75-84,Male,,,2436,1828
member_months,2016,,,,,Non-dual,75-84,Female,,,2484,1583
member_months,2016,,,,,Non-dual,85+,Female,,,2172,1548
member_months,2016,,,,,Non-dual,85+,Male,,,2124,1609
member_months,2016,,,,,Dual,<65,Female,,,4500,3110
member_months,2016,,,,,Non-dual,65-74,Female,,,7856,5229
member_months,2016,,,,,Non-dual,65-74,Male,,,8022,5342
member_months,2016,,,,,Non-dual,<65,Male,,,14652,10220
member_months,2016,,,,,Dual,65-74,Male,,,2718,1934
member_months,2016,,,,,Dual,75-84,Female,,,1008,717
member_months,2016,,,,,Non-dual,<65,Female,,,13440,9174
member_months,2016,,,,,Dual,65-74,Female,,,2380,1645
member_months,2016,,,,,Dual,85+,Female,,,768,552
member_months,2016,,,,,Dual,75-84,Male,,,972,717
member_months,2017,,,,,Non-dual,85+,Female,,,2268,1641
member_months,2017,,,,,Non-dual,<65,Female,,,13800,9676
member_months,2017,,,,,Non-dual,85+,Male,,,2232,1632
member_months,2017,,,,,Dual,75-84,Male,,,1116,804
member_months,2017,,,,,Dual,75-84,Female,,,1092,778
member_months,2017,,,,,Non-dual,<65,Male,,,15048,10645
member_months,2017,,,,,Dual,<65,Female,,,4704,3312
member_months,2017,,,,,Non-dual,65-74,Male,,,8533,5780
member_months,2017,,,,,Non-dual,65-74,Female,,,8657,5713
member_months,2017,,,,,Dual,<65,Male,,,4992,3481
member_months,2017,,,,,Dual,85+,Male,,,684,507
member_months,2017,,,,,Dual,85+,Female,,,792,599
member_months,2017,,,,,Non-dual,75-84,Female,,,2688,1807
member_months,2017,,,,,Dual,65-74,Female,,,2647,1831
member_months,2017,,,,,Dual,65-74,Male,,,2807,1919
member_months,2017,,,,,Non-dual,75-84,Male,,,2784,1965
member_months,2018,,,,,Non-dual,85+,Male,,,2292,1810
member_months,2018,,,,,Dual,65-74,Female,,,2855,2020
member_months,2018,,,,,Non-dual,65-74,Female,,,9325,6027
member_months,2018,,,,,Dual,75-84,Female,,,1224,855
member_months,2018,,,,,Non-dual,<65,Male,,,15228,10841
member_months,2018,,,,,Non-dual,<65,Female,,,14136,9843
member_months,2018,,,,,Dual,85+,Female,,,864,671
member_months,2018,,,,,Dual,85+,Male,,,744,525
member_months,2018,,,,,Non-dual,65-74,Male,,,9307,5994
member_months,2018,,,,,Non-dual,75-84,Male,,,3384,2385
member_months,2018,,,,,Dual,65-74,Male,,,2909,2108
member_months,2018,,,,,Non-dual,75-84,Female,,,3072,2136
member_months,2018,,,,,Dual,75-84,Male,,,1428,1086
member_months,2018,,,,,Dual,<65,Male,,,5232,3552
member_months,2018,,,,,Dual,<65,Female,,,4776,3248
member_months,2018,,,,,Non-dual,85+,Female,,,2412,1780
member_months,2019,,,,,Non-dual,<65,Male,,,15780,11220
member_months,2019,,,,,Non-dual,85+,Male,,,2328,1819
member_months,2019,,,,,Non-dual,65-74,Female,,,9964,6430
member_months,2019,,,,,Non-dual,65-74,Male,,,9897,6386
member_months,2019,,,,,Non-dual,85+,Female,,,2520,1804
member_months,2019,,,,,Non-dual,<65,Female,,,14712,10214
member_months,2019,,,,,Dual,75-84,Male,,,1644,1216
member_months,2019,,,,,Dual,75-84,Female,,,1392,967
member_months,2019,,,,,Dual,<65,Female,,,4944,3350
member_months,2019,,,,,Non-dual,75-84,Male,,,4116,2899
member_months,2019,,,,,Dual,<65,Male,,,5292,3652
member_months,2019,,,,,Dual,65-74,Male,,,3075,2149
member_months,2019,,,,,Dual,85+,Female,,,900,745
member_months,2019,,,,,Dual,85+,Male,,,768,519
member_months,2019,,,,,Non-dual,75-84,Female,,,3708,2533
member_months,2019,,,,,Dual,65-74,Female,,,3152,2165
member_months,2020,,,,,Dual,75-84,Male,,,1836,1288
member_months,2020,,,,,Non-dual,<65,Female,,,15096,10445
member_months,2020,,,,,Dual,75-84,Female,,,1656,1218
member_months,2020,,,,,Dual,<65,Male,,,5292,3721
member_months,2020,,,,,Dual,<65,Female,,,5028,3482
member_months,2020,,,,,Dual,85+,Male,,,804,519
member_months,2020,,,,,Non-dual,85+,Male,,,2424,1806
member_months,2020,,,,,Dual,85+,Female,,,936,756
member_months,2020,,,,,Dual,65-74,Female,,,3380,2195
member_months,2020,,,,,Dual,65-74,Male,,,3354,2467
member_months,2020,,,,,Non-dual,85+,Female,,,2544,1825
member_months,2020,,,,,Non-dual,75-84,Female,,,4296,2936
member_months,2020,,,,,Non-dual,65-74,Female,,,10888,7048
member_months,2020,,,,,Non-dual,65-74,Male,,,10518,6821
member_months,2020,,,,,Non-dual,75-84,Male,,,4500,3160
member_months,2020,,,,,Non-dual,<65,Male,,,16080,11184
member_months,2021,,,,,Non-dual,65-74,Male,,,10907,7162
member_months,2021,,,,,Dual,75-84,Male,,,2064,1348
member_months,2021,,,,,Dual,85+,Female,,,960,761
member_months,2021,,,,,Dual,85+,Male,,,804,552
member_months,2021,,,,,Dual,<65,Female,,,5076,3393
member_months,2021,,,,,Non-dual,75-84,Female,,,4968,3354
member_months,2021,,,,,Non-dual,65-74,Female,,,11461,7312
member_months,2021,,,,,Non-dual,75-84,Male,,,5208,3706
member_months,2021,,,,,Dual,75-84,Female,,,1776,1280
member_months,2021,,,,,Non-dual,<65,Male,,,16584,11595
member_months,2021,,,,,Dual,<65,Male,,,5412,3769
member_months,2021,,,,,Non-dual,<65,Female,,,15564,10556
member_months,2021,,,,,Non-dual,85+,Male,,,2604,1963
member_months,2021,,,,,Dual,65-74,Female,,,3707,2582
member_months,2021,,,,,Dual,65-74,Male,,,3529,2552
member_months,2021,,,,,Non-dual,85+,Female,,,2640,1823
member_months,2022,,,,,Dual,65-74,Female,,,3904,2695
member_months,2022,,,,,Non-dual,65-74,Female,,,12128,7661
member_months,2022,,,,,Dual,75-84,Female,,,1980,1473
member_months,2022,,,,,Dual,<65,Female,,,5184,3469
member_months,2022,,,,,Dual,<65,Male,,,5544,3790
member_months,2022,,,,,Non-dual,85+,Male,,,2712,2061
member_months,2022,,,,,Dual,85+,Male,,,828,578
member_months,2022,,,,,Dual,85+,Female,,,996,744
